date,state,fips,cases,deaths,location,mmwr_week,administered,admin_per_100k,recip_administered,administered_dose1_recip,administered_dose1_pop_pct,series_complete_yes,series_complete_pop_pct,additional_doses,additional_doses_vax_pct
2020-05-01,New Hampshire,33,2310,81,NH,,,,,,,,,,
2020-05-01,New Jersey,34,121190,7538,NJ,,,,,,,,,,
2020-05-01,New Mexico,35,3513,131,NM,,,,,,,,,,
2020-05-01,New York,36,313575,23841,NY,,,,,,,,,,
2020-05-01,North Carolina,37,10922,405,NC,,,,,,,,,,
2020-05-01,North Dakota,38,1107,23,ND,,,,,,,,,,
2020-05-01,Ohio,39,18743,1002,OH,,,,,,,,,,
2020-05-01,Oklahoma,40,3748,230,OK,,,,,,,,,,
2020-05-01,Pennsylvania,42,49764,2671,PA,,,,,,,,,,
2020-05-01,Utah,49,4829,46,UT,,,,,,,,,,
2020-05-01,South Carolina,45,6258,256,SC,,,,,,,,,,
2020-05-01,South Dakota,46,2525,21,SD,,,,,,,,,,
2020-05-01,Tennessee,47,11781,205,TN,,,,,,,,,,
2020-05-01,Texas,48,30342,853,TX,,,,,,,,,,
2020-05-01,Vermont,50,879,49,VT,,,,,,,,,,
2020-05-01,Virginia,51,16901,581,VA,,,,,,,,,,
2020-05-01,Washington,53,15134,829,WA,,,,,,,,,,
2020-05-01,West Virginia,54,1152,47,WV,,,,,,,,,,
2020-05-01,Wisconsin,55,7439,327,WI,,,,,,,,,,
2020-05-01,Wyoming,56,566,7,WY,,,,,,,,,,
2020-05-01,Nebraska,31,4838,72,NE,,,,,,,,,,
2020-05-01,Rhode Island,44,8962,279,RI,,,,,,,,,,
2020-05-01,Montana,30,452,16,MT,,,,,,,,,,
2020-05-01,Colorado,08,15661,818,CO,,,,,,,,,,
2020-05-01,Mississippi,28,7212,281,MS,,,,,,,,,,
2020-05-01,Alaska,02,362,7,AK,,,,,,,,,,
2020-05-01,Arizona,04,7962,330,AZ,,,,,,,,,,
2020-05-01,Arkansas,05,3310,64,AR,,,,,,,,,,
2020-05-01,California,06,52318,2147,CA,,,,,,,,,,
2020-05-01,Connecticut,09,28764,2339,CT,,,,,,,,,,
2020-05-01,Delaware,10,4918,159,DE,,,,,,,,,,
2020-05-01,District of Columbia,11,4658,231,DC,,,,,,,,,,
2020-05-01,Florida,12,34720,1313,FL,,,,,,,,,,
2020-05-01,Georgia,13,26436,1153,GA,,,,,,,,,,
2020-05-01,Hawaii,15,610,16,HI,,,,,,,,,,
2020-05-01,Idaho,16,2035,63,ID,,,,,,,,,,
2020-05-01,Alabama,01,7294,289,AL,,,,,,,,,,
2020-05-01,Indiana,18,18941,1175,IN,,,,,,,,,,
2020-05-01,Illinois,17,56055,2464,IL,,,,,,,,,,
2020-05-01,Minnesota,27,5730,371,MN,,,,,,,,,,
2020-05-01,Michigan,26,42348,3866,MI,,,,,,,,,,
2020-05-01,Massachusetts,25,64311,3716,MA,,,,,,,,,,
2020-05-01,Maryland,24,23566,1192,MD,,,,,,,,,,
2020-05-01,Missouri,29,7840,355,MO,,,,,,,,,,
2020-05-01,Maine,23,1123,55,ME,,,,,,,,,,
2020-05-01,Louisiana,22,28754,1970,LA,,,,,,,,,,
2020-05-01,Kentucky,21,4879,248,KY,,,,,,,,,,
2020-05-01,Kansas,20,4510,136,KS,,,,,,,,,,
2020-05-01,Iowa,19,7883,170,IA,,,,,,,,,,
2020-06-01,Nebraska,31,14345,183,NE,,,,,,,,,,
2020-06-01,Oklahoma,40,6573,334,OK,,,,,,,,,,
2020-06-01,Nevada,32,8701,420,NV,,,,,,,,,,
2020-06-01,New Hampshire,33,4685,245,NH,,,,,,,,,,
2020-06-01,New Jersey,34,160918,11721,NJ,,,,,,,,,,
2020-06-01,New Mexico,35,7800,362,NM,,,,,,,,,,
2020-06-01,New York,36,376520,29766,NY,,,,,,,,,,
2020-06-01,North Carolina,37,29368,923,NC,,,,,,,,,,
2020-06-01,North Dakota,38,2628,64,ND,,,,,,,,,,
2020-06-01,Ohio,39,35984,2206,OH,,,,,,,,,,
2020-06-01,Oregon,41,4303,154,OR,,,,,,,,,,
2020-06-01,Texas,48,66081,1695,TX,,,,,,,,,,
2020-06-01,Rhode Island,44,14991,720,RI,,,,,,,,,,
2020-06-01,South Carolina,45,12148,500,SC,,,,,,,,,,
2020-06-01,South Dakota,46,5034,62,SD,,,,,,,,,,
2020-06-01,Tennessee,47,23242,361,TN,,,,,,,,,,
2020-06-01,Utah,49,10026,113,UT,,,,,,,,,,
2020-06-01,Vermont,50,983,55,VT,,,,,,,,,,
2020-06-01,Virginia,51,45398,1392,VA,,,,,,,,,,
2020-06-01,Washington,53,23272,1133,WA,,,,,,,,,,
2020-06-01,West Virginia,54,2028,76,WV,,,,,,,,,,
2020-06-01,Wisconsin,55,18825,597,WI,,,,,,,,,,
2020-06-01,Montana,30,519,17,MT,,,,,,,,,,
2020-06-01,Pennsylvania,42,76734,5574,PA,,,,,,,,,,
2020-06-01,Wyoming,56,910,17,WY,,,,,,,,,,
2020-06-01,Missouri,29,13523,786,MO,,,,,,,,,,
2020-06-01,Minnesota,27,25218,1060,MN,,,,,,,,,,
2020-06-01,Alabama,01,18534,646,AL,,,,,,,,,,
2020-06-01,Alaska,02,476,8,AK,,,,,,,,,,
2020-06-01,Arizona,04,20123,918,AZ,,,,,,,,,,
2020-06-01,Arkansas,05,7443,133,AR,,,,,,,,,,
2020-06-01,California,06,115643,4287,CA,,,,,,,,,,
2020-06-01,Colorado,08,26563,1458,CO,,,,,,,,,,
2020-06-01,Connecticut,09,42740,3964,CT,,,,,,,,,,
2020-06-01,Delaware,10,9605,368,DE,,,,,,,,,,
2020-06-01,District of Columbia,11,8857,468,DC,,,,,,,,,,
2020-06-01,Florida,12,56822,2459,FL,,,,,,,,,,
2020-06-01,Georgia,13,45757,2057,GA,,,,,,,,,,
2020-06-01,Mississippi,28,15752,739,MS,,,,,,,,,,
2020-06-01,Idaho,16,2908,83,ID,,,,,,,,,,
2020-06-01,Illinois,17,121666,5458,IL,,,,,,,,,,
2020-06-01,Indiana,18,35684,2142,IN,,,,,,,,,,
2020-06-01,Iowa,19,19789,558,IA,,,,,,,,,,
2020-06-01,Kansas,20,10103,217,KS,,,,,,,,,,
2020-06-01,Kentucky,21,10150,445,KY,,,,,,,,,,
2020-06-01,Louisiana,22,40452,2801,LA,,,,,,,,,,
2020-06-01,Maine,23,2349,89,ME,,,,,,,,,,
2020-06-01,Maryland,24,54035,2552,MD,,,,,,,,,,
2020-06-01,Massachusetts,25,100805,7035,MA,,,,,,,,,,
2020-06-01,Michigan,26,58435,5525,MI,,,,,,,,,,
2020-06-01,Hawaii,15,642,17,HI,,,,,,,,,,
2020-07-01,Ohio,39,52865,2876,OH,,,,,,,,,,
2020-07-01,North Dakota,38,3624,89,ND,,,,,,,,,,
2020-07-01,North Carolina,37,66815,1389,NC,,,,,,,,,,
2020-07-01,New York,36,398770,31791,NY,,,,,,,,,,
2020-07-01,Nebraska,31,19325,282,NE,,,,,,,,,,
2020-07-01,New Jersey,34,173782,15078,NJ,,,,,,,,,,
2020-07-01,New Hampshire,33,5802,373,NH,,,,,,,,,,
2020-07-01,Nevada,32,19151,512,NV,,,,,,,,,,
2020-07-01,Oklahoma,40,14112,389,OK,,,,,,,,,,
2020-07-01,New Mexico,35,12276,500,NM,,,,,,,,,,
2020-07-01,Oregon,41,9019,211,OR,,,,,,,,,,
2020-07-01,Texas,48,174826,2518,TX,,,,,,,,,,
2020-07-01,Rhode Island,44,16853,956,RI,,,,,,,,,,
2020-07-01,South Carolina,45,37919,766,SC,,,,,,,,,,
2020-07-01,South Dakota,46,6826,93,SD,,,,,,,,,,
2020-07-01,Tennessee,47,44360,602,TN,,,,,,,,,,
2020-07-01,Utah,49,22864,173,UT,,,,,,,,,,
2020-07-01,Vermont,50,1210,56,VT,,,,,,,,,,
2020-07-01,Virginia,51,63203,1786,VA,,,,,,,,,,
2020-07-01,Washington,53,35258,1340,WA,,,,,,,,,,
2020-07-01,West Virginia,54,2979,93,WV,,,,,,,,,,
2020-07-01,Wisconsin,55,32307,794,WI,,,,,,,,,,
2020-07-01,Montana,30,1016,22,MT,,,,,,,,,,
2020-07-01,Pennsylvania,42,91864,6704,PA,,,,,,,,,,
2020-07-01,Missouri,29,22595,1049,MO,,,,,,,,,,
2020-07-01,Wyoming,56,1514,20,WY,,,,,,,,,,
2020-07-01,Minnesota,27,36753,1482,MN,,,,,,,,,,
2020-07-01,Alabama,01,38962,972,AL,,,,,,,,,,
2020-07-01,Alaska,02,1174,12,AK,,,,,,,,,,
2020-07-01,Arizona,04,84152,1726,AZ,,,,,,,,,,
2020-07-01,Arkansas,05,21197,277,AR,,,,,,,,,,
2020-07-01,California,06,239764,6168,CA,,,,,,,,,,
2020-07-01,Colorado,08,33012,1697,CO,,,,,,,,,,
2020-07-01,Connecticut,09,46572,4324,CT,,,,,,,,,,
2020-07-01,Delaware,10,11510,509,DE,,,,,,,,,,
2020-07-01,District of Columbia,11,10365,553,DC,,,,,,,,,,
2020-07-01,Florida,12,158989,3549,FL,,,,,,,,,,
2020-07-01,Georgia,13,79589,2779,GA,,,,,,,,,,
2020-07-01,Mississippi,28,27900,1082,MS,,,,,,,,,,
2020-07-01,Idaho,16,6379,92,ID,,,,,,,,,,
2020-07-01,Illinois,17,145541,7160,IL,,,,,,,,,,
2020-07-01,Indiana,18,47116,2650,IN,,,,,,,,,,
2020-07-01,Iowa,19,29618,717,IA,,,,,,,,,,
2020-07-01,Kansas,20,15142,280,KS,,,,,,,,,,
2020-07-01,Kentucky,21,16114,597,KY,,,,,,,,,,
2020-07-01,Louisiana,22,60286,3238,LA,,,,,,,,,,
2020-07-01,Maine,23,3294,105,ME,,,,,,,,,,
2020-07-01,Maryland,24,68502,3205,MD,,,,,,,,,,
2020-07-01,Massachusetts,25,109143,8081,MA,,,,,,,,,,
2020-07-01,Michigan,26,71279,6202,MI,,,,,,,,,,
2020-07-01,Hawaii,15,909,18,HI,,,,,,,,,,
2020-08-01,Ohio,39,92087,3515,OH,,,,,,,,,,
2020-08-01,North Dakota,38,6606,107,ND,,,,,,,,,,
2020-08-01,North Carolina,37,124015,1989,NC,,,,,,,,,,
2020-08-01,New York,36,420477,32390,NY,,,,,,,,,,
2020-08-01,Nebraska,31,26391,338,NE,,,,,,,,,,
2020-08-01,New Jersey,34,183904,15830,NJ,,,,,,,,,,
2020-08-01,New Hampshire,33,6613,416,NH,,,,,,,,,,
2020-08-01,Nevada,32,49207,832,NV,,,,,,,,,,
2020-08-01,Oklahoma,40,37706,549,OK,,,,,,,,,,
2020-08-01,New Mexico,35,20796,651,NM,,,,,,,,,,
2020-08-01,Oregon,41,18817,329,OR,,,,,,,,,,
2020-08-01,Texas,48,448224,7477,TX,,,,,,,,,,
2020-08-01,Rhode Island,44,19022,1007,RI,,,,,,,,,,
2020-08-01,South Carolina,45,90599,1751,SC,,,,,,,,,,
2020-08-01,South Dakota,46,8867,134,SD,,,,,,,,,,
2020-08-01,Tennessee,47,105455,1056,TN,,,,,,,,,,
2020-08-01,Utah,49,40754,312,UT,,,,,,,,,,
2020-08-01,Vermont,50,1421,57,VT,,,,,,,,,,
2020-08-01,Virginia,51,90801,2215,VA,,,,,,,,,,
2020-08-01,Washington,53,59648,1675,WA,,,,,,,,,,
2020-08-01,West Virginia,54,6735,116,WV,,,,,,,,,,
2020-08-01,Wisconsin,55,58064,955,WI,,,,,,,,,,
2020-08-01,Montana,30,4081,61,MT,,,,,,,,,,
2020-08-01,Pennsylvania,42,117468,7270,PA,,,,,,,,,,
2020-08-01,Missouri,29,52012,1311,MO,,,,,,,,,,
2020-08-01,Wyoming,56,2769,26,WY,,,,,,,,,,
2020-08-01,Minnesota,27,55228,1646,MN,,,,,,,,,,
2020-08-01,Alabama,01,89349,1603,AL,,,,,,,,,,
2020-08-01,Alaska,02,3825,22,AK,,,,,,,,,,
2020-08-01,Arizona,04,177019,3753,AZ,,,,,,,,,,
2020-08-01,Arkansas,05,43173,458,AR,,,,,,,,,,
2020-08-01,California,06,509507,9365,CA,,,,,,,,,,
2020-08-01,Colorado,08,47357,1846,CO,,,,,,,,,,
2020-08-01,Connecticut,09,49810,4432,CT,,,,,,,,,,
2020-08-01,Delaware,10,14877,585,DE,,,,,,,,,,
2020-08-01,District of Columbia,11,12205,585,DC,,,,,,,,,,
2020-08-01,Florida,12,480020,7021,FL,,,,,,,,,,
2020-08-01,Georgia,13,174834,3744,GA,,,,,,,,,,
2020-08-01,Mississippi,28,59881,1693,MS,,,,,,,,,,
2020-08-01,Idaho,16,21231,197,ID,,,,,,,,,,
2020-08-01,Illinois,17,182232,7707,IL,,,,,,,,,,
2020-08-01,Indiana,18,68773,2971,IN,,,,,,,,,,
2020-08-01,Iowa,19,45293,874,IA,,,,,,,,,,
2020-08-01,Kansas,20,28147,358,KS,,,,,,,,,,
2020-08-01,Kentucky,21,31612,758,KY,,,,,,,,,,
2020-08-01,Louisiana,22,116394,3949,LA,,,,,,,,,,
2020-08-01,Maine,23,3937,123,ME,,,,,,,,,,
2020-08-01,Maryland,24,89925,3506,MD,,,,,,,,,,
2020-08-01,Massachusetts,25,118040,8626,MA,,,,,,,,,,
2020-08-01,Michigan,26,91450,6460,MI,,,,,,,,,,
2020-08-01,Hawaii,15,2174,25,HI,,,,,,,,,,
2020-09-01,Oregon,41,26958,467,OR,,,,,,,,,,
2020-09-01,Nebraska,31,34574,405,NE,,,,,,,,,,
2020-09-01,Nevada,32,69708,1313,NV,,,,,,,,,,
2020-09-01,New Hampshire,33,7297,432,NH,,,,,,,,,,
2020-09-01,New Jersey,34,194070,15950,NJ,,,,,,,,,,
2020-09-01,New York,36,440237,32551,NY,,,,,,,,,,
2020-09-01,North Carolina,37,169966,2769,NC,,,,,,,,,,
2020-09-01,North Dakota,38,12004,149,ND,,,,,,,,,,
2020-09-01,Ohio,39,124610,4165,OH,,,,,,,,,,
2020-09-01,Oklahoma,40,59399,809,OK,,,,,,,,,,
2020-09-01,Pennsylvania,42,139591,7764,PA,,,,,,,,,,
2020-09-01,Utah,49,52505,410,UT,,,,,,,,,,
2020-09-01,South Carolina,45,119846,2757,SC,,,,,,,,,,
2020-09-01,South Dakota,46,13749,167,SD,,,,,,,,,,
2020-09-01,Tennessee,47,153274,1753,TN,,,,,,,,,,
2020-09-01,Texas,48,645534,13004,TX,,,,,,,,,,
2020-09-01,Montana,30,7526,105,MT,,,,,,,,,,
2020-09-01,Vermont,50,1635,58,VT,,,,,,,,,,
2020-09-01,Virginia,51,121615,2612,VA,,,,,,,,,,
2020-09-01,Washington,53,78061,2018,WA,,,,,,,,,,
2020-09-01,West Virginia,54,10507,222,WV,,,,,,,,,,
2020-09-01,Wisconsin,55,81688,1141,WI,,,,,,,,,,
2020-09-01,Wyoming,56,3866,41,WY,,,,,,,,,,
2020-09-01,Rhode Island,44,22002,1050,RI,,,,,,,,,,
2020-09-01,Missouri,29,87414,1651,MO,,,,,,,,,,
2020-09-01,New Mexico,35,25460,787,NM,,,,,,,,,,
2020-09-01,Minnesota,27,76404,1872,MN,,,,,,,,,,
2020-09-01,Mississippi,28,83584,2493,MS,,,,,,,,,,
2020-09-01,Alaska,02,6109,36,AK,,,,,,,,,,
2020-09-01,Arizona,04,202375,5048,AZ,,,,,,,,,,
2020-09-01,Arkansas,05,61497,814,AR,,,,,,,,,,
2020-09-01,California,06,716630,13149,CA,,,,,,,,,,
2020-09-01,Colorado,08,58118,1953,CO,,,,,,,,,,
2020-09-01,Connecticut,09,53006,4466,CT,,,,,,,,,,
2020-09-01,Delaware,10,17535,605,DE,,,,,,,,,,
2020-09-01,District of Columbia,11,14049,607,DC,,,,,,,,,,
2020-09-01,Florida,12,631032,11373,FL,,,,,,,,,,
2020-09-01,Georgia,13,256544,5604,GA,,,,,,,,,,
2020-09-01,Hawaii,15,8628,73,HI,,,,,,,,,,
2020-09-01,Alabama,01,127616,2200,AL,,,,,,,,,,
2020-09-01,Illinois,17,239115,8299,IL,,,,,,,,,,
2020-09-01,Idaho,16,32703,370,ID,,,,,,,,,,
2020-09-01,Massachusetts,25,128888,9064,MA,,,,,,,,,,
2020-09-01,Maryland,24,109353,3761,MD,,,,,,,,,,
2020-09-01,Maine,23,4548,132,ME,,,,,,,,,,
2020-09-01,Michigan,26,113969,6770,MI,,,,,,,,,,
2020-09-01,Kentucky,21,51762,983,KY,,,,,,,,,,
2020-09-01,Kansas,20,43491,454,KS,,,,,,,,,,
2020-09-01,Iowa,19,65846,1125,IA,,,,,,,,,,
2020-09-01,Indiana,18,96988,3312,IN,,,,,,,,,,
2020-09-01,Louisiana,22,149583,4984,LA,,,,,,,,,,
2020-10-01,Nevada,32,80507,1603,NV,,,,,,,,,,
2020-10-01,Oregon,41,33865,561,OR,,,,,,,,,,
2020-10-01,New Hampshire,33,8317,441,NH,,,,,,,,,,
2020-10-01,New Jersey,34,207676,16127,NJ,,,,,,,,,,
2020-10-01,New Mexico,35,29661,882,NM,,,,,,,,,,
2020-10-01,New York,36,464752,32768,NY,,,,,,,,,,
2020-10-01,North Carolina,37,213218,3601,NC,,,,,,,,,,
2020-10-01,North Dakota,38,22221,259,ND,,,,,,,,,,
2020-10-01,Ohio,39,155314,4817,OH,,,,,,,,,,
2020-10-01,Oklahoma,40,88369,1035,OK,,,,,,,,,,
2020-10-01,Pennsylvania,42,165078,8234,PA,,,,,,,,,,
2020-10-01,Utah,49,74099,460,UT,,,,,,,,,,
2020-10-01,South Carolina,45,148323,3400,SC,,,,,,,,,,
2020-10-01,South Dakota,46,23136,236,SD,,,,,,,,,,
2020-10-01,Tennessee,47,194601,2473,TN,,,,,,,,,,
2020-10-01,Texas,48,788066,16220,TX,,,,,,,,,,
2020-10-01,Vermont,50,1755,58,VT,,,,,,,,,,
2020-10-01,Virginia,51,148721,3228,VA,,,,,,,,,,
2020-10-01,Washington,53,92166,2227,WA,,,,,,,,,,
2020-10-01,West Virginia,54,16024,354,WV,,,,,,,,,,
2020-10-01,Wisconsin,55,132176,1358,WI,,,,,,,,,,
2020-10-01,Wyoming,56,6083,53,WY,,,,,,,,,,
2020-10-01,Nebraska,31,46185,497,NE,,,,,,,,,,
2020-10-01,Rhode Island,44,24914,1117,RI,,,,,,,,,,
2020-10-01,Montana,30,13626,181,MT,,,,,,,,,,
2020-10-01,Connecticut,09,57742,4511,CT,,,,,,,,,,
2020-10-01,Mississippi,28,98886,2979,MS,,,,,,,,,,
2020-10-01,Missouri,29,131778,2184,MO,,,,,,,,,,
2020-10-01,Alaska,02,8838,53,AK,,,,,,,,,,
2020-10-01,Arizona,04,219214,5674,AZ,,,,,,,,,,
2020-10-01,Arkansas,05,84821,1384,AR,,,,,,,,,,
2020-10-01,California,06,824307,15989,CA,,,,,,,,,,
2020-10-01,Colorado,08,71723,2064,CO,,,,,,,,,,
2020-10-01,Delaware,10,20787,636,DE,,,,,,,,,,
2020-10-01,District of Columbia,11,15358,628,DC,,,,,,,,,,
2020-10-01,Florida,12,709136,14443,FL,,,,,,,,,,
2020-10-01,Georgia,13,303010,6903,GA,,,,,,,,,,
2020-10-01,Hawaii,15,12660,138,HI,,,,,,,,,,
2020-10-01,Alabama,01,155744,2548,AL,,,,,,,,,,
2020-10-01,Illinois,17,299111,8956,IL,,,,,,,,,,
2020-10-01,Idaho,16,42915,473,ID,,,,,,,,,,
2020-10-01,Michigan,26,139064,7103,MI,,,,,,,,,,
2020-10-01,Massachusetts,25,132870,9480,MA,,,,,,,,,,
2020-10-01,Maryland,24,125997,3949,MD,,,,,,,,,,
2020-10-01,Maine,23,5431,142,ME,,,,,,,,,,
2020-10-01,Minnesota,27,100253,2102,MN,,,,,,,,,,
2020-10-01,Kentucky,21,73619,1225,KY,,,,,,,,,,
2020-10-01,Kansas,20,61103,678,KS,,,,,,,,,,
2020-10-01,Iowa,19,90483,1366,IA,,,,,,,,,,
2020-10-01,Indiana,18,123459,3645,IN,,,,,,,,,,
2020-10-01,Louisiana,22,168009,5519,LA,,,,,,,,,,
2020-11-01,Oklahoma,40,124111,1345,OK,,,,,,,,,,
2020-11-01,Ohio,39,219000,5303,OH,,,,,,,,,,
2020-11-01,North Dakota,38,45048,536,ND,,,,,,,,,,
2020-11-01,North Carolina,37,276706,4405,NC,,,,,,,,,,
2020-11-01,Nevada,32,101594,1783,NV,,,,,,,,,,
2020-11-01,New Mexico,35,47232,1026,NM,,,,,,,,,,
2020-11-01,New Jersey,34,241422,16354,NJ,,,,,,,,,,
2020-11-01,New Hampshire,33,11214,483,NH,,,,,,,,,,
2020-11-01,Oregon,41,45419,691,OR,,,,,,,,,,
2020-11-01,New York,36,514482,33174,NY,,,,,,,,,,
2020-11-01,Pennsylvania,42,214500,8888,PA,,,,,,,,,,
2020-11-01,Utah,49,116510,614,UT,,,,,,,,,,
2020-11-01,South Carolina,45,178023,3936,SC,,,,,,,,,,
2020-11-01,South Dakota,46,47324,437,SD,,,,,,,,,,
